Tumor type,Genomic region,Epigenetic type,Correlation coefficient,P value
blood,noncoding,H3K27ac,-0.436096421163496,2.21539801012134e-133
blood,noncoding,H3K27me3,-0.320680798864559,6.3118113060021e-70
blood,noncoding,H3K36me3,-0.415110107114821,4.75183203641191e-119
blood,noncoding,H3K4me1,-0.433116780166294,1.26595512084407e-130
blood,noncoding,H3K4me3,-0.22106803788191,0.00000000000000000000000000000000308684150760721
blood,noncoding,H3K9ac,-0.45517138539503,5.46731717372531e-146
blood,noncoding,H3K9me3,0.504335028043276,5.30698194264855e-186
blood,total,H3K27ac,-0.395629084452096,5.16016700586918e-108
blood,total,H3K27me3,-0.297174143303563,7.51472576187596e-60
blood,total,H3K36me3,-0.37772536808364,2.89519970724414e-97
blood,total,H3K4me1,-0.390251001662383,2.74345725559303e-104
blood,total,H3K4me3,-0.190012425287072,0.000000000000000000000000780689318188537
blood,total,H3K9ac,-0.411271370885752,6.35454030968513e-117
blood,total,H3K9me3,0.469620419848442,3.29481946682871e-158
breast,noncoding,DNase,-0.420495458418431,5.8575642850324e-122
breast,noncoding,H3K27me3,-0.0932326517817582,0.000000563219973662859
breast,noncoding,H3K36me3,-0.424314506705943,1.02312011954196e-119
breast,noncoding,H3K4me1,-0.47053529971949,1.05438704631001e-157
breast,noncoding,H3K4me3,-0.282656998284618,3.89598176218855e-54
breast,noncoding,H3K9me3,0.490261152954456,1.64945254015197e-173
breast,total,DNase,-0.354007302620406,1.57022939172228e-84
breast,total,H3K27me3,-0.0570458695887949,0.00223384279481007
breast,total,H3K36me3,-0.381752691782489,2.12713145711897e-95
breast,total,H3K4me1,-0.419768419451127,1.34532415401351e-122
breast,total,H3K4me3,-0.193572518390518,0.0000000000000000000000000939334867103711
breast,total,H3K9me3,0.46676012097467,2.60628427816455e-155
esophagus,noncoding,H3K27ac,-0.592217501624669,9.44097476864881e-257
esophagus,noncoding,H3K27me3,-0.171561537067174,0.000000000000000000228382452866678
esophagus,noncoding,H3K36me3,-0.610185760141178,8.39401127354479e-277
