Tumor type,Genomic region,Epigenetic type,Correlation coefficient,P value
blood,coding,H3K27ac,0.19246445585889,0.000000000000000000000000355773733131857
blood,coding,H3K27me3,0.0784342740181855,0.0000265241015568244
blood,coding,H3K36me3,0.169441671108852,0.000000000000000000109739052344328
blood,coding,H3K4me1,0.21354807825667,0.00000000000000000000000000000151548264165861
blood,coding,H3K4me3,0.201983555293797,0.000000000000000000000000000992499855028919
blood,coding,H3K9ac,0.214183047878785,0.000000000000000000000000000000919199960651174
blood,coding,H3K9me3,-0.105689746177769,0.000000014235129330562
blood,noncoding,H3K27ac,-0.436096421163496,2.21539801012134e-133
blood,noncoding,H3K27me3,-0.320680798864559,6.3118113060021e-70
blood,noncoding,H3K36me3,-0.415110107114821,4.75183203641191e-119
blood,noncoding,H3K4me1,-0.433116780166294,1.26595512084407e-130
blood,noncoding,H3K4me3,-0.22106803788191,0.00000000000000000000000000000000308684150760721
blood,noncoding,H3K9ac,-0.45517138539503,5.46731717372531e-146
blood,noncoding,H3K9me3,0.504335028043276,5.30698194264855e-186
blood,promoter,H3K27ac,0.263811497011967,9.05788305782732e-42
blood,promoter,H3K27me3,0.062706755178966,0.00153110176963272
blood,promoter,H3K36me3,0.226003915377981,0.00000000000000000000000000000112537045336107
blood,promoter,H3K4me1,0.284225424069796,2.69878901420556e-48
blood,promoter,H3K4me3,0.295062991950999,2.23394702225897e-52
blood,promoter,H3K9ac,0.273046558032728,1.29216424071394e-44
blood,promoter,H3K9me3,-0.120846202522822,0.00000000091777318027258
blood,Noncoding-promoter,H3K27ac,-0.452618042976141,8.91078304265984e-145
blood,Noncoding-promoter,H3K27me3,-0.327483844549264,5.12627406002796e-73
blood,Noncoding-promoter,H3K36me3,-0.430190873187553,1.17235041322135e-128
blood,Noncoding-promoter,H3K4me1,-0.450799840104502,1.18847786698871e-142
blood,Noncoding-promoter,H3K4me3,-0.238383655175089,1.6002069284518e-38
blood,Noncoding-promoter,H3K9ac,-0.472431396871187,1.22247599925693e-158
blood,Noncoding-promoter,H3K9me3,0.512871764109945,2.42172648338844e-193
breast,coding,DNase,0.581059605261495,6.17475372858689e-254
breast,coding,H3K27me3,0.292094355217887,4.49377930266207e-57
breast,coding,H3K36me3,0.375293130264548,2.76854259646204e-91
breast,coding,H3K4me1,0.47640815985252,4.82817727216258e-161
breast,coding,H3K4me3,0.75016221378198,0
breast,coding,H3K9me3,-0.277387359958409,2.0864956542374e-51
breast,noncoding,DNase,-0.420495458418431,5.8575642850324e-122
breast,noncoding,H3K27me3,-0.0932326517817582,0.000000563219973662859
breast,noncoding,H3K36me3,-0.424314506705943,1.02312011954196e-119
breast,noncoding,H3K4me1,-0.47053529971949,1.05438704631001e-157
breast,noncoding,H3K4me3,-0.282656998284618,3.89598176218855e-54
breast,noncoding,H3K9me3,0.490261152954456,1.64945254015197e-173
breast,promoter,DNase,0.588880502905455,2.89667097921779e-237
breast,promoter,H3K27me3,0.247068994220809,7.67656152741951e-37
breast,promoter,H3K36me3,0.285420771593598,1.1483110331733e-47
breast,promoter,H3K4me1,0.444638661558617,2.7111118624036e-124
breast,promoter,H3K4me3,0.769544544472767,0
breast,promoter,H3K9me3,-0.227187319100596,0.000000000000000000000000000000288667158320941
breast,Noncoding-promoter,DNase,-0.468768449278986,5.62794088300572e-155
breast,Noncoding-promoter,H3K27me3,-0.119215240647473,0.000000000148682185759406
breast,Noncoding-promoter,H3K36me3,-0.45021673661064,2.48267301232947e-136
breast,Noncoding-promoter,H3K4me1,-0.506987172993019,7.71987426074495e-187
breast,Noncoding-promoter,H3K4me3,-0.348835894435698,2.50686186900282e-83
breast,Noncoding-promoter,H3K9me3,0.504901607077898,1.37958293106947e-185
esophagus,coding,H3K27ac,0.283580972476023,6.74677089344932e-52
esophagus,coding,H3K27me3,0.210582963664898,0.0000000000000000000000000000706057617975915
esophagus,coding,H3K36me3,0.379338602294243,1.24605136162773e-94
esophagus,coding,H3K4me1,0.310892545709466,1.46110287314678e-62
