Genomic region,Correlation coefficient,P value,Genetic feature
noncoding,-0.310137587126317,7.26147160819796e-58,CpG island
noncoding,-0.524879069894379,8.47134561795919e-205,GC content
noncoding,-0.351100884394343,1.01752133670959e-84,Conservation
noncoding,-0.724759411990172,0,Replication time
noncoding,-0.313352786255558,5.89225881498172e-67,DNA poly II
noncoding,0.207183941719058,0.0000000000000000000000000000190640503459452,Mappability
noncoding,-0.114322956680867,0.00000000136965967624672,Recombination rate
noncoding,-0.537972511981162,4.94775565406854e-216,TFBS
total,-0.31347329346422,3.83722456156682e-59,CpG island
total,-0.529680428885578,3.28646033151515e-209,GC content
total,-0.350360917023243,2.39960792577027e-84,Conservation
total,-0.736756283543288,0,Replication time
total,-0.327751654133057,1.94757614846774e-73,DNA poly II
total,0.190967544516371,0.000000000000000000000000346923024860539,Mappability
total,-0.121639920391556,0.000000000112135971419027,Recombination rate
total,-0.554269327428731,6.46603901292059e-232,TFBS
