Genomic region,Correlation coefficient,P value,Genetic feature
noncoding,-0.310137587126317,7.26147160819796e-58,CpG island
noncoding,-0.524879069894379,8.47134561795919e-205,GC content
noncoding,-0.351100884394343,1.01752133670959e-84,Conservation
noncoding,-0.724759411990172,0,Replication time
noncoding,-0.313352786255558,5.89225881498172e-67,DNA poly II
noncoding,0.207183941719058,0.0000000000000000000000000000190640503459452,Mappability
noncoding,-0.114322956680867,0.00000000136965967624672,Recombination rate
noncoding,-0.537972511981162,4.94775565406854e-216,TFBS
coding,0.593809887608753,3.248366899248e-242,CpG island
coding,0.591324005367189,7.09444193845802e-272,GC content
coding,0.15946049522726,0.00000000000000000672836321891319,Conservation
coding,0.511938823362229,5.2023958942343e-191,Replication time
coding,0.513426224330409,5.84844362987285e-194,DNA poly II
coding,-0.0759380126967202,0.0000442018391326918,Mappability
coding,0.117862933097504,0.0000000004189489717063,Recombination rate
coding,0.549085768465483,1.08683343208642e-226,TFBS
promoter,0.609533702365827,1.65392292042223e-249,CpG island
promoter,0.560785468697917,2.1037019370423e-213,GC content
promoter,0.0942771003833087,0.00000163278816409354,Conservation
promoter,0.498146212293306,1.18072149501051e-160,Replication time
promoter,0.55303726679889,2.11036243822318e-206,DNA poly II
promoter,-0.067481546827532,0.000608292252841209,Mappability
promoter,0.0977755252403538,0.000000920722002422489,Recombination rate
promoter,0.54901102700178,1.33127397270972e-202,TFBS
Noncoding-promoter,-0.37695573095091,9.76000436161763e-87,CpG island
Noncoding-promoter,-0.575632868729959,2.95415271047307e-255,GC content
Noncoding-promoter,-0.355759302385236,4.3529243755692e-87,Conservation
Noncoding-promoter,-0.768348894925651,0,Replication time
Noncoding-promoter,-0.37325919713736,2.38623558613715e-96,DNA poly II
Noncoding-promoter,0.188647463664746,0.00000000000000000000000131706483501926,Mappability
Noncoding-promoter,-0.130467046072293,0.00000000000446734100127584,Recombination rate
Noncoding-promoter,-0.59640463230566,2.45042329454851e-277,TFBS
