Genomic region,Correlation coefficient,P value,Genetic feature
noncoding,-0.32617679846463,3.70042264125431e-64,CpG island
noncoding,-0.538355524032452,2.31176779620627e-217,GC content
noncoding,-0.349955379621005,3.83633181401299e-84,Conservation
noncoding,-0.741448767884052,0,Replication time
noncoding,-0.335720593416505,3.53331118766917e-77,DNA poly II
noncoding,0.19294465330068,0.000000000000000000000000109798069130778,Mappability
noncoding,-0.123082429970385,0.0000000000672428300252978,Recombination rate
noncoding,-0.561661361032366,2.0472025612812e-239,TFBS
coding,-0.218478318491762,0.0000000000000000000000000000740876921140194,CpG island
coding,-0.41722355280965,5.46020233785528e-122,GC content
coding,-0.389706331674777,2.43527177260846e-105,Conservation
coding,-0.664298665525435,0,Replication time
coding,-0.283919361810872,1.1620447523759e-54,DNA poly II
coding,0.0171577124094147,0.356754797592368,Mappability
coding,-0.0916580816417405,0.00000122715644531429,Recombination rate
coding,-0.476133319127663,5.16088286388836e-163,TFBS
promoter,-0.171449123655666,0.0000000000000000122503774330839,CpG island
promoter,-0.294616459077206,9.01147947077066e-53,GC content
promoter,-0.28984103571773,4.65774791717849e-51,Conservation
promoter,-0.512854389112814,9.19613702872075e-172,Replication time
promoter,-0.202458450563727,0.000000000000000000000000304746755040915,DNA poly II
promoter,0.0462327806561407,0.0189209552809137,Mappability
promoter,-0.0286368814535993,0.151491126351668,Recombination rate
promoter,-0.332370998084066,1.96797923082253e-67,TFBS
Noncoding-promoter,-0.32543205995344,7.39661598058581e-64,CpG island
Noncoding-promoter,-0.537200634595095,2.9045390067263e-216,GC content
Noncoding-promoter,-0.34882565771246,1.41253452190678e-83,Conservation
Noncoding-promoter,-0.740039549534391,0,Replication time
Noncoding-promoter,-0.334996215909896,7.81424538292293e-77,DNA poly II
Noncoding-promoter,0.194121566685335,0.000000000000000000000000055028298765657,Mappability
Noncoding-promoter,-0.122448934872582,0.0000000000842367791786886,Recombination rate
Noncoding-promoter,-0.56064185083256,2.27386475042937e-238,TFBS
