V1	V2	V3	V4	V5	name	avg
chr1	0	1000000	1	7068	recombRate	1.11575
chr1	1000000	2000000	2	11713	recombRate	1.11575
chr1	2000000	3000000	3	14290	recombRate	1.11575
chr1	3000000	4000000	4	12170	recombRate	1.80707
chr1	4000000	5000000	5	25210	recombRate	2.50708
chr1	5000000	6000000	6	24737	recombRate	2.27971
chr1	6000000	7000000	7	10811	recombRate	2.13054
chr1	7000000	8000000	8	14218	recombRate	1.69054
chr1	8000000	9000000	9	11087	recombRate	1.21922
chr1	9000000	10000000	10	10487	recombRate	1.701
chr1	10000000	11000000	11	10440	recombRate	1.47022
chr1	11000000	12000000	12	12649	recombRate	3.06032
chr1	12000000	13000000	13	14147	recombRate	0.998319
chr1	13000000	14000000	14	6475	recombRate	1.83359
chr1	14000000	15000000	15	16302	recombRate	2.12662
chr1	15000000	16000000	16	11748	recombRate	2.33369
chr1	16000000	17000000	17	13183	recombRate	1.7821
chr1	17000000	18000000	18	13859	recombRate	1.7821
chr1	18000000	19000000	19	19029	recombRate	3.37568
chr1	19000000	20000000	20	12074	recombRate	2.13351
chr1	20000000	21000000	21	13864	recombRate	1.82372
chr1	21000000	22000000	22	10611	recombRate	1.26836
chr1	22000000	23000000	23	12101	recombRate	1.01267
chr1	23000000	24000000	24	11763	recombRate	1.37607
chr1	24000000	25000000	25	10827	recombRate	1.24234
chr1	25000000	26000000	26	9551	recombRate	0.531947
chr1	26000000	27000000	27	11187	recombRate	0.896887
chr1	27000000	28000000	28	9915	recombRate	0.85944
chr1	28000000	29000000	29	9568	recombRate	0.267323
chr1	29000000	30000000	30	10931	recombRate	1.29668
chr1	30000000	31000000	31	18921	recombRate	1.80378
chr1	31000000	32000000	32	12348	recombRate	1.84411
chr1	32000000	33000000	33	10810	recombRate	0.818903
chr1	33000000	34000000	34	10133	recombRate	0.702879
chr1	34000000	35000000	35	26297	recombRate	2.45759
chr1	35000000	36000000	36	14108	recombRate	0.477283
chr1	36000000	37000000	37	10474	recombRate	1.55925
chr1	37000000	38000000	38	17935	recombRate	1.73339
chr1	38000000	39000000	39	15055	recombRate	1.80859
chr1	39000000	40000000	40	12633	recombRate	1.60198
chr1	40000000	41000000	41	11581	recombRate	2.16969
chr1	41000000	42000000	42	11491	recombRate	0.888071
chr1	42000000	43000000	43	12557	recombRate	0.604508
chr1	43000000	44000000	44	11744	recombRate	0.796872
chr1	44000000	45000000	45	11493	recombRate	1.1232
chr1	45000000	46000000	46	10814	recombRate	0.355908
chr1	46000000	47000000	47	10750	recombRate	0.098774
chr1	47000000	48000000	48	15724	recombRate	1.57055
chr1	48000000	49000000	49	13497	recombRate	1.10592
chr1	49000000	50000000	50	18153	recombRate	0.275107
chr1	50000000	51000000	51	22276	recombRate	0.286012
chr1	51000000	52000000	52	10668	recombRate	0.259136
chr1	52000000	53000000	53	9835	recombRate	0.384883
chr1	53000000	54000000	54	12196	recombRate	1.38208
chr1	54000000	55000000	55	11361	recombRate	2.19835
chr1	55000000	56000000	56	13881	recombRate	1.26919
chr1	56000000	57000000	57	21789	recombRate	1.3642
chr1	57000000	58000000	58	24240	recombRate	1.98169
chr1	58000000	59000000	59	19513	recombRate	1.72525
chr1	59000000	60000000	60	12940	recombRate	2.22137
chr1	60000000	61000000	61	15824	recombRate	0.304457
chr1	61000000	62000000	62	13409	recombRate	2.20986
chr1	62000000	63000000	63	13704	recombRate	0.912259
chr1	63000000	64000000	64	12009	recombRate	1.39982
chr1	64000000	65000000	65	12393	recombRate	1.54701
chr1	65000000	66000000	66	11410	recombRate	0.575312
chr1	66000000	67000000	67	16969	recombRate	1.0568
chr1	67000000	68000000	68	12437	recombRate	1.72101
chr1	68000000	69000000	69	12437	recombRate	1.5768
chr1	69000000	70000000	70	26062	recombRate	0.842798
chr1	70000000	71000000	71	17835	recombRate	0.677975
chr1	71000000	72000000	72	26109	recombRate	1.27633
chr1	72000000	73000000	73	25073	recombRate	0.391037
chr1	73000000	74000000	74	37849	recombRate	0.106035
chr1	74000000	75000000	75	27251	recombRate	0.434266
chr1	75000000	76000000	76	29087	recombRate	0.662906
chr1	76000000	77000000	77	17506	recombRate	1.47582
chr1	77000000	78000000	78	17540	recombRate	0.991989
chr1	78000000	79000000	79	16323	recombRate	0.257212
chr1	79000000	80000000	80	25415	recombRate	0.937685
chr1	80000000	81000000	81	29118	recombRate	0.65562
chr1	81000000	82000000	82	24150	recombRate	1.81543
chr1	82000000	83000000	83	23838	recombRate	0.596247
chr1	83000000	84000000	84	21365	recombRate	0.641528
chr1	84000000	85000000	85	11856	recombRate	0.500065
chr1	85000000	86000000	86	11776	recombRate	1.41123
chr1	86000000	87000000	87	13935	recombRate	0.822212
chr1	87000000	88000000	88	12139	recombRate	0.886431
chr1	88000000	89000000	89	17489	recombRate	1.25756
chr1	89000000	90000000	90	11512	recombRate	0.962845
chr1	90000000	91000000	91	16457	recombRate	0.962845
chr1	91000000	92000000	92	15868	recombRate	1.02263
chr1	92000000	93000000	93	12350	recombRate	0.405478
chr1	93000000	94000000	94	10101	recombRate	0.853889
chr1	94000000	95000000	95	11578	recombRate	0.803616
chr1	95000000	96000000	96	13249	recombRate	0.825989
chr1	96000000	97000000	97	25203	recombRate	0.462033
chr1	97000000	98000000	98	23786	recombRate	0.449028
chr1	98000000	99000000	99	21977	recombRate	0.926606
chr1	99000000	100000000	100	16744	recombRate	1.07207
chr1	100000000	101000000	101	10710	recombRate	0.723826
chr1	101000000	102000000	102	16888	recombRate	0.357276
chr1	102000000	103000000	103	29852	recombRate	1.29089
chr1	103000000	104000000	104	24514	recombRate	0.14876
chr1	104000000	105000000	105	25858	recombRate	0.763288
chr1	105000000	106000000	106	29744	recombRate	1.21398
chr1	106000000	107000000	107	35446	recombRate	0.518749
chr1	107000000	108000000	108	29942	recombRate	0.822367
chr1	108000000	109000000	109	12808	recombRate	0.961474
chr1	109000000	110000000	110	10363	recombRate	1.39773
chr1	110000000	111000000	111	10919	recombRate	1.44397
chr1	111000000	112000000	112	16423	recombRate	0.974432
chr1	112000000	113000000	113	18374	recombRate	1.66002
chr1	113000000	114000000	114	11695	recombRate	1.39
chr1	114000000	115000000	115	12862	recombRate	0.682164
chr1	115000000	116000000	116	18930	recombRate	0.50805
